seed_id,x,y,d_nn,R_i,sigma,margin_i,crowded
136,489.8,757.1,21.9,9.9,12.84,0.35,1
137,511.7,758.2,21.9,9.9,12.84,0.35,1
138,346.9,758.9,73.4,31.5,12.84,0.20,0
139,745.2,764.3,22.1,10.0,12.84,0.35,1
140,1154.2,768.0,62.4,28.1,12.84,0.20,0
141,928.4,769.5,59.8,26.9,12.84,0.20,0
142,109.2,770.6,85.1,31.5,12.84,0.20,0
143,274.0,770.0,73.7,31.5,12.84,0.20,0
144,1412.9,771.2,66.3,29.8,12.84,0.20,0
145,550.4,776.3,42.8,19.2,12.84,0.20,0
146,1054.1,782.2,83.4,31.5,12.84,0.20,0
147,1271.2,782.1,58.8,26.5,12.84,0.20,0
148,651.0,782.9,96.1,31.5,12.84,0.20,0
149,427.6,799.9,75.5,31.5,12.84,0.20,0
150,1354.8,803.0,66.3,29.8,12.84,0.20,0
151,186.1,806.9,78.4,31.5,12.84,0.20,0
152,756.1,823.9,60.6,27.3,12.84,0.20,0
153,836.8,830.1,81.0,31.5,12.84,0.20,0
154,318.9,842.4,67.5,30.4,12.84,0.20,0
155,253.7,860.1,22.1,9.9,12.84,0.35,1
156,1247.2,859.8,61.5,27.7,12.84,0.20,0
157,1085.0,861.2,84.9,31.5,12.84,0.20,0
158,995.3,865.3,70.6,31.5,12.84,0.20,0
159,233.6,869.3,22.1,9.9,12.84,0.35,1
160,1410.8,874.2,82.4,31.5,12.84,0.20,0
161,113.9,874.8,62.6,28.2,12.84,0.20,0
162,1328.8,883.3,81.2,31.5,12.84,0.20,0
163,558.6,885.5,57.7,26.0,12.84,0.20,0
164,314.0,911.8,69.5,31.3,12.84,0.20,0
165,1256.7,920.6,21.9,9.9,12.84,0.35,1
166,1234.8,921.8,21.9,9.9,12.84,0.35,1
167,215.7,924.7,58.2,26.2,12.84,0.20,0
168,79.8,927.2,62.6,28.2,12.84,0.20,0
169,702.9,926.8,81.2,31.5,12.84,0.20,0
170,491.6,927.9,79.3,31.5,12.84,0.20,0
171,784.0,930.9,72.9,31.5,12.84,0.20,0
172,972.4,932.1,59.7,26.9,12.84,0.20,0
173,579.8,939.2,57.7,26.0,12.84,0.20,0
174,895.0,940.4,66.3,29.8,12.84,0.20,0
175,399.7,947.8,93.0,31.5,12.84,0.20,0
176,1029.9,948.2,59.7,26.9,12.84,0.20,0
177,1109.1,964.0,22.0,9.9,12.84,0.35,1
178,1334.0,965.9,60.7,27.3,12.84,0.20,0
179,1394.7,967.7,60.7,27.3,12.84,0.20,0
180,1180.0,968.1,71.1,31.5,12.84,0.20,0
181,1266.2,973.9,54.1,24.3,12.84,0.20,0
182,1103.6,985.3,22.0,9.9,12.84,0.35,1
183,289.2,995.4,68.3,30.7,12.84,0.20,0
184,940.2,996.0,22.0,9.9,12.84,0.35,1
185,207.8,1000.0,22.1,9.9,12.84,0.35,1
186,762.0,1000.5,22.1,9.9,12.84,0.35,1
187,146.1,1002.4,61.8,27.8,12.84,0.20,0
188,874.6,1003.4,49.9,22.4,12.84,0.20,0
189,923.9,1010.8,22.0,9.9,12.84,0.35,1
190,632.8,1015.1,60.6,27.3,12.84,0.20,0
191,768.7,1021.5,22.1,9.9,12.84,0.35,1
192,206.9,1022.1,22.1,9.9,12.84,0.35,1
193,1095.5,1036.1,51.5,23.2,12.84,0.20,0
194,342.7,1037.8,22.1,9.9,12.84,0.35,1
195,364.8,1039.0,22.1,9.9,12.84,0.35,1
196,578.0,1041.0,60.6,27.3,12.84,0.20,0
197,993.4,1049.6,60.9,27.4,12.84,0.20,0
198,456.3,1053.5,22.1,10.0,12.84,0.35,1
199,1428.8,1053.4,22.1,10.0,12.84,0.35,1
200,816.2,1055.8,58.6,26.4,12.84,0.20,0
201,1409.2,1063.7,22.1,10.0,12.84,0.35,1
202,445.4,1072.7,22.1,10.0,12.84,0.35,1
203,942.9,1083.6,60.9,27.4,12.84,0.20,0
204,504.6,1096.8,63.9,28.8,12.84,0.20,0
205,172.6,1098.7,40.1,18.0,12.84,0.20,0
206,67.1,1099.1,94.1,31.5,12.84,0.20,0
207,703.9,1102.6,64.2,28.9,12.84,0.20,0
208,1108.1,1105.7,70.7,31.5,12.84,0.20,0
209,569.1,1109.0,65.7,29.6,12.84,0.20,0
210,1204.0,1110.1,64.9,29.2,12.84,0.20,0
211,1275.7,1110.1,55.8,25.1,12.84,0.20,0
212,238.2,1118.2,68.4,30.8,12.84,0.20,0
213,821.3,1121.5,57.7,26.0,12.84,0.20,0
214,1035.0,1123.2,64.9,29.2,12.84,0.20,0
215,643.8,1125.1,60.3,27.1,12.84,0.20,0
216,169.7,1138.7,22.0,9.9,12.84,0.35,1
217,1433.8,1153.9,93.5,31.5,12.84,0.20,0
218,179.5,1158.4,22.0,9.9,12.84,0.35,1
219,1250.7,1160.0,55.8,25.1,12.84,0.20,0
220,1158.8,1161.8,21.9,9.9,12.84,0.35,1
221,1320.4,1166.8,66.9,30.1,12.84,0.20,0
222,987.2,1167.1,22.2,10.0,12.84,0.35,1
223,854.0,1169.0,57.7,26.0,12.84,0.20,0
224,714.2,1170.3,68.5,30.8,12.84,0.20,0
225,1179.1,1170.1,21.9,9.9,12.84,0.35,1
226,406.4,1172.4,85.0,31.5,12.84,0.20,0
227,638.0,1185.1,55.8,25.1,12.84,0.20,0
228,1114.3,1185.0,50.2,22.6,12.84,0.20,0
229,989.9,1189.1,22.2,10.0,12.84,0.35,1
230,67.3,1193.2,88.4,31.5,12.84,0.20,0
231,1043.4,1199.0,54.4,24.5,12.84,0.20,0
232,586.3,1206.2,55.8,25.1,12.84,0.20,0
233,482.9,1209.2,57.0,25.6,12.84,0.20,0
234,1356.1,1223.4,66.9,30.1,12.84,0.20,0
235,241.8,1226.2,55.6,25.0,12.84,0.20,0
236,819.1,1228.3,55.8,25.1,12.84,0.20,0
237,763.3,1229.0,55.8,25.1,12.84,0.20,0
238,707.7,1246.7,58.3,26.2,12.84,0.20,0
239,1083.8,1253.0,21.9,9.9,12.84,0.35,1
240,1105.7,1254.3,21.9,9.9,12.84,0.35,1
241,868.2,1264.4,22.1,9.9,12.84,0.35,1
242,474.2,1265.5,57.0,25.6,12.84,0.20,0
243,112.4,1269.3,88.4,31.5,12.84,0.20,0
244,648.8,1271.9,64.1,28.8,12.84,0.20,0
245,329.9,1272.5,68.1,30.7,12.84,0.20,0
246,232.1,1280.9,55.6,25.0,12.84,0.20,0
247,863.2,1285.9,22.1,9.9,12.84,0.35,1
248,1256.9,1292.1,70.1,31.5,12.84,0.20,0
249,779.2,1297.2,70.0,31.5,12.84,0.20,0
250,922.7,1298.1,60.8,27.4,12.84,0.20,0
251,1364.0,1307.3,70.7,31.5,12.84,0.20,0
252,1116.1,1314.7,61.3,27.6,12.84,0.20,0
253,703.3,1325.8,75.7,31.5,12.84,0.20,0
254,628.0,1333.4,65.0,29.2,12.84,0.20,0
255,325.6,1340.6,57.7,26.0,12.84,0.20,0
256,268.4,1348.1,57.7,26.0,12.84,0.20,0
257,1293.2,1352.1,22.1,9.9,12.84,0.35,1
258,1411.9,1359.3,70.7,31.5,12.84,0.20,0
259,838.0,1363.9,61.6,27.7,12.84,0.20,0
260,776.9,1372.2,61.6,27.7,12.84,0.20,0
261,1292.4,1374.1,22.1,9.9,12.84,0.35,1
262,81.3,1382.5,113.0,31.5,12.84,0.20,0
263,1166.2,1384.9,86.3,31.5,12.84,0.20,0
264,483.1,1386.8,42.8,19.3,12.84,0.20,0
265,378.3,1398.5,69.6,31.3,12.84,0.20,0
266,305.6,1398.9,22.0,9.9,12.84,0.35,1
267,688.8,1400.2,22.0,9.9,12.84,0.35,1
268,241.9,1402.2,59.0,26.6,12.84,0.20,0
269,999.3,1405.1,22.0,9.9,12.84,0.35,1
270,710.1,1405.8,22.0,9.9,12.84,0.35,1
271,548.0,1415.2,70.8,31.5,12.84,0.20,0
272,312.0,1419.9,22.0,9.9,12.84,0.35,1
273,186.7,1423.2,59.0,26.6,12.84,0.20,0
274,918.5,1424.8,74.6,31.5,12.84,0.20,0
275,993.0,1426.2,22.0,9.9,12.84,0.35,1
276,1322.9,1425.9,60.2,27.1,12.84,0.20,0
277,470.6,1427.8,21.9,9.8,12.84,0.35,1
278,1054.9,1435.7,62.6,28.2,12.84,0.20,0
279,654.4,1438.6,51.5,23.2,12.84,0.20,0
280,451.9,1439.1,21.9,9.8,12.84,0.35,1
