geneID,x,y,MIDCount,ExonCount,label
Gene015,916.5,1279.4,1,1,1.0
Gene016,943.4,1301.9,1,1,1.0
Gene018,936.9,1317.9,1,1,1.0
Gene012,915.3,1309.5,1,1,1.0
Gene013,919.3,1297.3,1,1,1.0
Gene013,921.4,1298.1,1,1,1.0
Gene013,938.2,1299.9,1,1,1.0
Gene017,920.5,1294.3,1,1,1.0
Gene010,927.4,1285.6,1,1,1.0
Gene035,915.6,1297.4,1,1,1.0
Gene011,914.7,1296.5,1,1,1.0
Gene016,914.1,1326.2,1,1,7.0
Gene020,941.2,1304.5,1,1,1.0
Gene010,921.9,1328.8,1,1,1.0
Gene015,927.2,1296.9,1,1,1.0
Gene018,926.9,1302.4,1,1,1.0
Gene018,942.4,1297.9,1,1,1.0
Gene048,952.0,1285.8,1,1,1.0
Gene036,932.3,1284.1,1,1,1.0
Gene010,948.1,1293.5,1,1,1.0
Gene041,921.8,1311.1,1,1,1.0
Gene018,940.2,1282.6,1,1,1.0
Gene024,917.8,1278.6,1,1,1.0
Gene011,924.6,1296.7,1,1,1.0
Gene016,917.7,1288.6,1,1,1.0
Gene026,917.2,1287.7,1,1,1.0
Gene037,930.0,1319.4,1,1,1.0
Gene038,895.6,1296.5,1,1,1.0
Gene012,916.8,1305.0,1,1,1.0
Gene041,909.3,1296.1,1,1,1.0
Gene018,908.1,1307.9,1,1,1.0
Gene023,924.0,1295.9,1,1,1.0
Gene043,927.8,1294.7,1,1,1.0
Gene015,900.9,1306.5,1,1,1.0
Gene051,926.7,1296.0,1,1,1.0
Gene046,936.4,1315.2,1,1,1.0
Gene038,907.3,1287.2,1,1,1.0
Gene015,944.3,1318.0,1,1,1.0
Gene018,912.3,1281.6,1,1,1.0
Gene011,913.7,1291.2,1,1,1.0
Gene033,900.5,1298.6,1,1,1.0
Gene048,904.7,1281.2,1,1,1.0
Gene011,935.5,1288.6,1,1,1.0
Gene031,921.6,1307.0,1,1,1.0
Gene026,934.0,1293.4,1,1,1.0
Gene004,923.2,1286.6,1,1,1.0
Gene050,947.1,1307.3,1,1,1.0
Gene017,907.2,1298.2,1,1,1.0
Gene013,932.6,1304.9,1,1,1.0
Gene003,948.2,1317.4,1,1,1.0
Gene036,915.1,1296.9,1,1,1.0
Gene014,904.7,1301.6,1,1,1.0
Gene017,924.7,1336.0,1,1,1.0
Gene011,924.0,1268.8,1,1,1.0
Gene019,913.2,1299.7,1,1,1.0
Gene015,905.0,1286.0,1,1,1.0
Gene038,917.5,1302.9,1,1,1.0
Gene023,920.3,1285.7,1,1,1.0
Gene029,933.7,1290.6,1,1,1.0
Gene012,915.6,1278.8,1,1,1.0
Gene007,911.6,1307.3,1,1,1.0
Gene046,900.0,1297.2,1,1,1.0
Gene052,932.7,1292.9,1,1,1.0
Gene020,926.0,1282.5,1,1,1.0
Gene051,941.0,1313.6,1,1,1.0
Gene027,925.9,1273.6,1,1,1.0
Gene019,908.0,1311.8,1,1,1.0
Gene016,946.6,1302.3,1,1,1.0
Gene014,940.1,1289.6,1,1,1.0
Gene017,920.0,1298.2,1,1,1.0
Gene012,928.6,1276.8,1,1,1.0
Gene016,935.8,1316.7,1,1,1.0
Gene017,906.5,1279.2,1,1,1.0
Gene003,927.5,1289.0,1,1,1.0
Gene015,889.4,1309.5,1,1,1.0
Gene013,924.8,1291.5,1,1,1.0
Gene019,952.2,1300.1,1,1,1.0
Gene039,912.1,1299.6,1,1,1.0
Gene019,908.1,1287.5,1,1,1.0
Gene023,928.0,1290.4,1,1,1.0
Gene019,916.3,1321.5,1,1,1.0
Gene013,934.7,1309.4,1,1,1.0
Gene015,930.0,1304.9,1,1,1.0
Gene042,943.0,1297.9,1,1,1.0
Gene054,948.6,1284.8,1,1,1.0
Gene011,919.1,1278.9,1,1,1.0
Gene001,917.8,1305.4,1,1,1.0
Gene055,942.9,1288.9,1,1,1.0
Gene044,922.7,1293.1,1,1,1.0
Gene019,912.3,1281.5,1,1,1.0
Gene039,923.5,1273.9,1,1,1.0
Gene019,924.2,1298.4,1,1,1.0
Gene049,913.4,1284.0,1,1,1.0
Gene012,903.3,1324.4,1,1,1.0
Gene016,903.8,1320.0,1,1,1.0
Gene023,931.0,1293.1,1,1,1.0
Gene012,906.4,1312.7,1,1,1.0
Gene028,946.8,1285.1,1,1,1.0
Gene013,918.4,1312.9,1,1,1.0
Gene028,927.3,1326.2,1,1,1.0
Gene038,914.6,1305.7,1,1,1.0
Gene016,905.1,1327.5,1,1,1.0
Gene058,912.4,1267.2,1,1,1.0
Gene019,920.9,1296.2,1,1,1.0
Gene033,949.4,1293.4,1,1,1.0
Gene002,922.5,1306.5,1,1,1.0
Gene010,944.8,1297.3,1,1,1.0
Gene028,937.2,1305.4,1,1,1.0
Gene053,918.5,1299.2,1,1,1.0
Gene019,923.0,1285.3,1,1,1.0
Gene050,939.6,1278.8,1,1,1.0
Gene006,939.0,1311.5,1,1,1.0
Gene048,921.3,1287.4,1,1,1.0
Gene046,919.5,1304.8,1,1,1.0
Gene019,933.0,1302.2,1,1,1.0
Gene016,936.5,1290.4,1,1,1.0
Gene027,925.9,1276.2,1,1,1.0
Gene012,933.3,1300.3,1,1,1.0
Gene023,916.8,1314.4,1,1,1.0
Gene026,932.3,1258.7,1,1,1.0
Gene018,923.2,1277.8,1,1,1.0
Gene013,937.6,1333.0,1,1,1.0
Gene000,915.4,1299.2,1,1,1.0
Gene011,919.1,1303.1,1,1,1.0
Gene041,931.7,1316.2,1,1,1.0
Gene012,908.8,1320.2,1,1,1.0
Gene008,909.6,1302.0,1,1,1.0
Gene012,938.9,1308.1,1,1,1.0
Gene017,909.5,1288.3,1,1,1.0
Gene019,916.2,1297.4,1,1,25.0
Gene046,938.7,1280.1,1,1,1.0
Gene044,929.2,1306.7,1,1,1.0
Gene056,930.4,1304.7,1,1,1.0
Gene047,943.9,1305.0,1,1,1.0
Gene016,934.6,1306.0,1,1,1.0
Gene010,947.7,1271.6,1,1,1.0
Gene055,940.6,1294.5,1,1,1.0
Gene012,918.7,1284.6,1,1,40.0
Gene019,896.5,1292.8,1,1,1.0
Gene013,913.0,1305.1,1,1,1.0
Gene039,902.0,1318.2,1,1,1.0
Gene012,926.4,1294.7,1,1,1.0
Gene016,912.7,1287.1,1,1,1.0
Gene012,906.8,1290.5,1,1,1.0
Gene044,922.7,1295.7,1,1,1.0
Gene019,902.8,1294.4,1,1,1.0
Gene019,910.1,1300.4,1,1,1.0
Gene014,948.7,1306.9,1,1,1.0
Gene011,918.2,1275.4,1,1,1.0
Gene044,902.8,1274.5,1,1,1.0
Gene034,932.8,1287.4,1,1,1.0
Gene030,923.5,1289.4,1,1,1.0
Gene059,923.9,1317.8,1,1,1.0
Gene018,913.0,1293.4,1,1,1.0
Gene011,911.3,1310.4,1,1,1.0
Gene019,908.3,1282.3,1,1,1.0
Gene013,903.2,1278.4,1,1,1.0
Gene017,929.2,1334.1,1,1,1.0
Gene016,908.7,1311.5,1,1,1.0
Gene018,926.1,1282.7,1,1,1.0
Gene051,918.8,1294.9,1,1,1.0
Gene039,913.0,1325.2,1,1,1.0
Gene015,895.9,1303.5,1,1,1.0
Gene039,927.3,1290.0,1,1,1.0
Gene028,1121.9,375.5,1,1,2.0
Gene000,1108.6,351.8,1,1,2.0
Gene045,1123.5,363.5,1,1,2.0
Gene017,1131.5,386.5,1,1,2.0
Gene019,1123.8,377.7,1,1,2.0
Gene026,1138.9,355.6,1,1,2.0
Gene027,1133.6,357.6,1,1,2.0
Gene033,1145.3,377.2,1,1,2.0
Gene022,1130.7,352.0,1,1,2.0
Gene053,1132.1,360.0,1,1,2.0
Gene028,1140.3,369.1,1,1,50.0
Gene042,1119.1,383.7,1,1,2.0
Gene025,1140.5,362.5,1,1,2.0
Gene007,1146.7,366.6,1,1,2.0
Gene001,1126.1,372.5,1,1,2.0
Gene028,1119.9,364.6,1,1,2.0
Gene024,1128.2,392.2,1,1,2.0
Gene024,1151.4,367.2,1,1,2.0
Gene022,1153.0,370.2,1,1,2.0
Gene019,1135.8,383.2,1,1,2.0
Gene025,1134.5,404.6,1,1,2.0
Gene021,1133.9,354.0,1,1,2.0
Gene048,1148.7,365.0,1,1,2.0
Gene019,1126.2,328.9,1,1,2.0
Gene056,1144.5,382.2,1,1,2.0
Gene044,1141.6,384.5,1,1,2.0
Gene023,1154.1,370.1,1,1,62.0
Gene035,1143.6,360.4,1,1,2.0
Gene027,1125.5,385.6,1,1,2.0
Gene025,1135.9,352.1,1,1,2.0
Gene039,1135.5,368.2,1,1,190.0
Gene041,1119.0,376.9,1,1,2.0
Gene020,1124.8,348.8,1,1,2.0
Gene049,1114.9,395.6,1,1,2.0
Gene003,1109.2,373.9,1,1,2.0
Gene000,1139.0,379.7,1,1,2.0
Gene025,1113.3,366.3,1,1,2.0
Gene022,1132.4,382.0,1,1,2.0
Gene024,1121.4,354.5,1,1,2.0
Gene025,1144.5,386.3,1,1,2.0
Gene025,1135.6,362.3,1,1,2.0
Gene049,1136.1,372.3,1,1,2.0
Gene051,1142.2,353.3,1,1,2.0
Gene023,1132.1,368.6,1,1,2.0
Gene021,1114.9,373.8,1,1,2.0
Gene028,1130.9,365.0,1,1,2.0
Gene020,1136.0,350.9,1,1,2.0
Gene024,1129.7,376.8,1,1,2.0
Gene029,1134.4,385.9,1,1,2.0
Gene000,1113.6,349.7,1,1,2.0
Gene034,1133.8,377.2,1,1,2.0
Gene030,1160.1,379.4,1,1,2.0
Gene023,1118.2,382.1,1,1,2.0
Gene021,1118.6,350.0,1,1,2.0
Gene026,1167.0,375.3,1,1,2.0
Gene022,1140.5,378.7,1,1,2.0
Gene040,1155.8,374.8,1,1,2.0
Gene027,1147.5,356.4,1,1,2.0
Gene022,1111.0,390.8,1,1,2.0
Gene038,1151.1,377.9,1,1,112.0
Gene027,1133.6,373.1,1,1,2.0
Gene014,1120.8,392.3,1,1,2.0
Gene024,1139.7,377.9,1,1,90.0
Gene025,1135.7,385.5,1,1,2.0
Gene053,1137.5,381.2,1,1,2.0
Gene022,1114.1,377.9,1,1,2.0
Gene024,1161.1,363.5,1,1,2.0
Gene057,1128.6,383.3,1,1,2.0
Gene024,1143.8,379.5,1,1,2.0
Gene040,1107.8,377.8,1,1,2.0
Gene010,1113.9,359.2,1,1,2.0
Gene023,1138.1,366.6,1,1,2.0
Gene020,1141.8,414.9,1,1,2.0
Gene047,1141.3,380.9,1,1,2.0
Gene026,1117.9,361.8,1,1,2.0
Gene020,1115.6,363.3,1,1,2.0
Gene010,1115.2,361.6,1,1,2.0
Gene024,1127.5,356.8,1,1,2.0
Gene010,1110.6,351.7,1,1,2.0
Gene025,1136.8,371.6,1,1,2.0
Gene030,1144.8,385.4,1,1,2.0
Gene022,1125.7,380.2,1,1,2.0
Gene018,1110.3,402.7,1,1,2.0
Gene023,1147.2,367.8,1,1,2.0
Gene018,1114.2,376.1,1,1,192.0
Gene042,1104.3,359.9,1,1,2.0
Gene010,1140.9,371.8,1,1,2.0
Gene031,1123.6,384.1,1,1,2.0
Gene022,1115.9,374.8,1,1,2.0
Gene030,1123.5,358.9,1,1,2.0
Gene034,1136.9,356.9,1,1,2.0
Gene014,1157.1,362.6,1,1,2.0
Gene033,1158.3,355.5,1,1,2.0
Gene054,1138.9,354.0,1,1,2.0
Gene027,1111.7,373.0,1,1,2.0
Gene028,1139.9,352.9,1,1,2.0
Gene022,1147.0,359.6,1,1,2.0
Gene019,1132.3,376.1,1,1,2.0
Gene031,1138.8,345.6,1,1,2.0
Gene040,1153.1,378.7,1,1,2.0
Gene020,1124.5,356.4,1,1,2.0
Gene012,1106.7,351.7,1,1,2.0
Gene023,1138.1,366.0,1,1,2.0
Gene028,1114.6,363.4,1,1,2.0
Gene023,1152.3,366.2,1,1,2.0
Gene056,1122.3,389.7,1,1,2.0
Gene037,1136.9,371.4,1,1,2.0
Gene050,1121.9,349.1,1,1,2.0
Gene027,1114.1,364.1,1,1,2.0
Gene033,1127.4,375.8,1,1,2.0
Gene054,1138.2,373.9,1,1,2.0
Gene003,1133.5,356.7,1,1,2.0
Gene027,1100.3,363.5,1,1,2.0
Gene020,1117.1,361.6,1,1,2.0
Gene037,1126.6,353.4,1,1,2.0
Gene020,1114.9,369.4,1,1,256.0
Gene031,1132.1,361.6,1,1,2.0
Gene022,1137.4,367.7,1,1,2.0
Gene028,1116.2,371.4,1,1,2.0
Gene029,1156.8,361.3,1,1,2.0
Gene049,1146.8,390.1,1,1,2.0
Gene045,1151.4,359.3,1,1,2.0
Gene024,1158.7,372.4,1,1,2.0
Gene029,1126.9,367.6,1,1,2.0
Gene020,1138.9,371.5,1,1,225.0
Gene010,1128.0,388.8,1,1,2.0
Gene029,1120.3,356.2,1,1,173.0
Gene049,1141.5,380.6,1,1,2.0
Gene032,1145.8,355.8,1,1,2.0
Gene026,1145.6,377.5,1,1,2.0
Gene028,1155.1,353.3,1,1,2.0
Gene030,1133.5,366.9,1,1,2.0
Gene027,1108.2,360.8,1,1,2.0
Gene023,1146.2,364.2,1,1,2.0
Gene043,1120.3,382.9,1,1,2.0
Gene023,1144.3,384.6,1,1,2.0
Gene049,1119.4,370.0,1,1,2.0
Gene037,1144.9,361.6,1,1,2.0
Gene037,1120.0,382.4,1,1,2.0
Gene041,1152.3,354.7,1,1,2.0
Gene058,1094.1,350.5,1,1,2.0
Gene058,1116.3,368.9,1,1,2.0
Gene025,1139.1,368.7,1,1,2.0
Gene023,1120.6,372.9,1,1,2.0
Gene030,1117.0,370.1,1,1,2.0
Gene056,1121.5,408.3,1,1,2.0
Gene028,1141.9,359.1,1,1,2.0
Gene002,1116.5,364.7,1,1,2.0
Gene004,1107.4,360.6,1,1,2.0
Gene025,1120.1,383.2,1,1,2.0
Gene036,1124.5,359.7,1,1,2.0
Gene047,1111.7,354.3,1,1,2.0
Gene023,1129.5,367.8,1,1,2.0
Gene026,1146.3,362.0,1,1,2.0
Gene026,1145.3,374.4,1,1,2.0
Gene010,1130.4,342.7,1,1,2.0
Gene000,1112.4,381.2,1,1,2.0
Gene026,1150.0,373.7,1,1,2.0
Gene025,1141.1,365.1,1,1,2.0
Gene044,1125.2,361.5,1,1,2.0
Gene019,1144.1,375.6,1,1,2.0
Gene043,1127.2,366.2,1,1,2.0
Gene021,1138.2,375.3,1,1,2.0
Gene026,1118.8,394.8,1,1,2.0
Gene029,1134.0,370.9,1,1,2.0
Gene015,1151.1,385.1,1,1,2.0
Gene054,1129.2,378.3,1,1,2.0
Gene055,1115.5,361.8,1,1,2.0
Gene056,1098.8,387.9,1,1,2.0
Gene000,1103.9,380.3,1,1,2.0
Gene028,1118.8,357.1,1,1,2.0
Gene028,1127.7,374.5,1,1,2.0
Gene046,1139.0,395.6,1,1,2.0
Gene020,1135.5,383.1,1,1,235.0
Gene013,1122.1,380.8,1,1,2.0
Gene039,1132.6,364.3,1,1,2.0
Gene021,1129.1,369.9,1,1,2.0
Gene007,1133.1,376.4,1,1,2.0
Gene010,1123.3,360.4,1,1,131.0
Gene028,1140.9,347.0,1,1,2.0
Gene026,1121.8,392.5,1,1,2.0
Gene032,1092.5,361.1,1,1,2.0
Gene038,1140.1,347.7,1,1,2.0
Gene000,1166.8,334.5,1,1,2.0
Gene052,1150.6,392.6,1,1,2.0
Gene046,1143.3,367.7,1,1,2.0
Gene052,1135.4,358.2,1,1,2.0
Gene034,1141.8,355.1,1,1,2.0
Gene023,1126.6,384.7,1,1,2.0
Gene021,1114.8,365.7,1,1,2.0
Gene050,1132.7,352.0,1,1,2.0
Gene024,1146.7,375.6,1,1,2.0
Gene025,1109.2,370.1,1,1,2.0
Gene029,1119.6,361.6,1,1,2.0
Gene029,1131.5,360.9,1,1,129.0
Gene029,1143.9,360.9,1,1,2.0
Gene028,1144.2,370.2,1,1,252.0
Gene025,1142.4,363.2,1,1,2.0
Gene034,1123.4,354.7,1,1,2.0
Gene023,1138.5,383.9,1,1,2.0
Gene021,1160.1,388.9,1,1,2.0
Gene049,1133.9,367.8,1,1,2.0
Gene043,1135.9,370.4,1,1,2.0
Gene029,1150.9,384.0,1,1,2.0
Gene018,1118.7,361.2,1,1,2.0
Gene005,1149.6,375.1,1,1,2.0
Gene051,1127.2,387.4,1,1,2.0
Gene053,1125.0,366.9,1,1,2.0
Gene021,1124.0,343.3,1,1,2.0
Gene028,1142.5,353.9,1,1,2.0
Gene002,1122.5,360.4,1,1,2.0
Gene023,1140.6,369.8,1,1,2.0
Gene029,1130.7,347.3,1,1,2.0
Gene023,1129.2,350.1,1,1,2.0
Gene038,1134.7,375.9,1,1,2.0
Gene050,1130.2,399.4,1,1,2.0
Gene015,1137.8,379.1,1,1,2.0
Gene029,1132.4,368.1,1,1,2.0
Gene023,1144.0,386.2,1,1,2.0
Gene019,1112.2,385.5,1,1,2.0
Gene023,1137.6,384.2,1,1,2.0
Gene025,1137.0,353.4,1,1,34.0
Gene048,1114.0,396.3,1,1,2.0
Gene034,1134.0,350.9,1,1,2.0
Gene000,1135.3,365.7,1,1,2.0
Gene006,1104.6,338.7,1,1,2.0
Gene059,1108.0,374.6,1,1,2.0
Gene026,1129.8,367.3,1,1,2.0
Gene027,1134.4,379.2,1,1,2.0
Gene023,1101.0,366.6,1,1,2.0
Gene041,1118.9,353.5,1,1,2.0
Gene026,1122.8,369.1,1,1,2.0
Gene027,1126.7,350.4,1,1,2.0
Gene021,1123.7,399.0,1,1,2.0
Gene035,1115.7,347.2,1,1,47.0
Gene020,1134.3,379.1,1,1,2.0
Gene015,1136.9,355.1,1,1,2.0
Gene027,1144.4,359.8,1,1,2.0
Gene041,1114.6,362.3,1,1,2.0
Gene022,1128.9,380.8,1,1,2.0
Gene022,1139.2,370.5,1,1,95.0
Gene016,1143.5,371.9,1,1,2.0
Gene027,1143.0,351.1,1,1,2.0
Gene034,1108.4,381.6,1,1,2.0
Gene013,1111.0,366.6,1,1,2.0
Gene026,1129.1,364.0,1,1,2.0
Gene026,1124.1,390.3,1,1,2.0
Gene011,1095.0,383.2,1,1,2.0
Gene026,1162.6,371.1,1,1,2.0
Gene021,1130.2,381.0,1,1,2.0
Gene020,1156.1,354.2,1,1,2.0
Gene058,1131.7,368.2,1,1,2.0
Gene009,1138.3,373.0,1,1,2.0
Gene022,1139.7,364.9,1,1,2.0
Gene028,1131.1,361.4,1,1,2.0
Gene024,1121.1,368.8,1,1,2.0
Gene001,1128.5,354.4,1,1,2.0
Gene045,1152.4,368.9,1,1,2.0
Gene021,1111.1,386.2,1,1,2.0
Gene024,1120.0,377.9,1,1,2.0
Gene049,1130.2,374.3,1,1,2.0
Gene056,1132.8,362.7,1,1,2.0
Gene050,1131.0,399.2,1,1,2.0
Gene024,1099.1,371.7,1,1,2.0
Gene031,1136.5,356.1,1,1,2.0
Gene043,1111.3,401.0,1,1,2.0
Gene020,1125.2,399.9,1,1,2.0
Gene056,1137.9,371.9,1,1,2.0
Gene011,1137.1,379.7,1,1,2.0
Gene028,1147.0,376.9,1,1,2.0
Gene021,1132.5,373.3,1,1,2.0
Gene020,1149.4,382.2,1,1,2.0
Gene015,1116.4,361.9,1,1,2.0
Gene053,1135.1,362.1,1,1,268.0
Gene014,1125.2,357.4,1,1,2.0
Gene050,1126.8,376.7,1,1,2.0
Gene018,1144.4,370.9,1,1,2.0
Gene022,1159.5,369.7,1,1,2.0
Gene020,1175.2,384.8,1,1,48.0
Gene058,1137.4,363.8,1,1,2.0
Gene010,1090.9,368.6,1,1,2.0
Gene044,1132.9,397.7,1,1,220.0
Gene022,1111.1,397.5,1,1,2.0
Gene054,1126.9,380.9,1,1,2.0
Gene032,1094.9,372.7,1,1,2.0
Gene021,1125.6,380.3,1,1,2.0
Gene026,1131.7,354.8,1,1,2.0
Gene017,1143.7,380.5,1,1,2.0
Gene024,1138.8,384.9,1,1,2.0
Gene002,1145.9,370.5,1,1,2.0
Gene029,1111.4,351.4,1,1,2.0
Gene027,1149.3,380.7,1,1,2.0
Gene021,1131.9,364.7,1,1,2.0
Gene001,1130.9,371.1,1,1,2.0
Gene053,1125.7,361.0,1,1,2.0
Gene013,1160.7,374.0,1,1,2.0
Gene022,1122.0,352.6,1,1,2.0
Gene002,1120.3,380.9,1,1,209.0
Gene023,1141.1,367.7,1,1,2.0
Gene024,1131.2,366.5,1,1,2.0
Gene026,1114.9,389.0,1,1,2.0
Gene022,1135.7,405.5,1,1,2.0
Gene021,1119.9,368.9,1,1,2.0
Gene036,1142.8,367.4,1,1,2.0
Gene021,1111.0,357.5,1,1,2.0
Gene022,1131.9,375.6,1,1,2.0
Gene025,1129.1,384.8,1,1,2.0
Gene021,1144.3,375.3,1,1,2.0
